type,term,term_id,variant_of,variant_of_id,plural_of,plural_of_id,romanization_of,romanization_of_id,language_id,language,malignant_meaning,benign_meaning,is_about_nationality,nationalities/0,is_about_ethnicity,athnicities/0,is_about_religion,religions/0,is_about_gender,genders/0,is_about_orientation,orientations/0,is_about_disability,is_about_class,is_archaic,offensiveness,created_on,updated_on,athnicities/1,,,
Discrimatory,jants,dfrepxMhj,,,jant,VHKLXNPXF,,,eng,English,"In Ireland, a disreputable, working class or delinquent person",,N,PF,N,African American,N,Mormonism,N,,N,,N,Y,N,,16/04/2021 19:00,-0001-11-30 05:17:32,,,,
Discrimatory,moxy,xwuEDEfNX,mocky,qK1gfBRGT,,,,,eng,English,A Jewish person (first used in the 1930s).,,N,PF,Y,African American,N,Mormonism,N,,N,,N,N,N,Very offensive,16/04/2021 19:03,-0001-11-30 05:17:32,,,,
Discrimatory,tynkare,FhQtejfha,tinker,ffDPnZymN,,,,,eng,English,"[1] An inconsequential person (typically lower class). [2] A Gypsy. [3] In Scotland, a member of the native community previously itinerant (but mainly now settled) who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as 'travelling tinsmiths'. The slur is possibly derived from a reputation for rowdy and alcoholic recreation. Often wrongly confused with Gypsy/Romany people.",,N,PF,Y,African American,N,Mormonism,N,,N,,N,N,N,Very offensive,16/04/2021 19:03,-0001-11-30 05:17:32,,,,
Discrimatory,sheeny,NczGFKfLC,,,,,,,eng,English,A 19th-century derogatory term for an 'untrustworthy Jew.',,N,PF,Y,African American,N,Mormonism,N,,N,,N,N,Y,Very offensive,16/04/2021 18:59,-0001-11-30 05:17:32,,,,
Discrimatory,Caublasian,FebTRVA4u,,,,,,,eng,English,"A person of mixed Caucasian, African and Asian heritage",,N,PF,Y,African American,N,Mormonism,N,,N,,N,N,N,Significantly offensive,16/04/2021 18:59,-0001-11-30 05:17:32,,,,
Discrimatory,nigger-knock,oNku1TPeX,,,,,,,eng,English,Intimidation of black families by anonymous knocking on their front doors,,N,PF,Y,African American,N,Mormonism,N,,N,,N,N,N,Extremely offensive,16/04/2021 18:59,-0001-11-30 05:17:32,,,,
Discrimatory,Japs,HDvttvrxv,,,Jap,jszFRpoFE,,,eng,English,"[1] A Japanese soldier or national, or anyone of Japanese descent. [2] Acronym for 'Jewish-American Princess.'",,Y,JP,Y,Japanese,N,Mormonism,N,,N,,N,N,N,Mildly offensive or inoffensive,16/04/2021 19:00,-0001-11-30 05:17:32,,,,
Discrimatory,moky,EvJHCzFZN,mocky,qK1gfBRGT,,,,,eng,English,A Jewish person (first used in the 1930s).,,N,JP,Y,Japanese,N,Mormonism,N,,N,,N,N,N,Extremely offensive,16/04/2021 19:03,-0001-11-30 05:17:32,,,,
Discrimatory,tynkard,VVUjpLnZY,tinker,ffDPnZymN,,,,,eng,English,"[1] An inconsequential person (typically lower class). [2] A Gypsy. [3] In Scotland, a member of the native community previously itinerant (but mainly now settled) who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as 'travelling tinsmiths'. The slur is possibly derived from a reputation for rowdy and alcoholic recreation. Often wrongly confused with Gypsy/Romany people.",,N,JP,Y,Japanese,N,Mormonism,N,,N,,N,N,N,Very offensive,16/04/2021 19:03,-0001-11-30 05:17:32,,,,
Discrimatory,gew,EJTZuLvkz,,,,,,,eng,English,A German Jew.,,Y,DE,Y,German,Y,Judaism,N,,N,,N,N,N,Very offensive,16/04/2021 18:59,-0001-11-30 05:17:32,Jews,,,
Discrimatory,cave nigger,QxtcgaAyw,,,,,,,eng,English,A person of Middle Eastern descent,,N,DE,Y,German,N,Judaism,N,,N,,N,Y,N,Extremely offensive,16/04/2021 18:59,-0001-11-30 05:17:32,Jews,,,
Discrimatory,nigger-rig,ksLwaYryM,,,,,,,eng,English,To poorly repair or assemble something,,N,DE,Y,African American,N,Judaism,N,,N,,N,N,N,Extremely offensive,16/04/2021 18:59,-0001-11-30 05:17:32,,,,
